iter	RMSE
0	0.2386111114
1	0.2384596231
2	0.2383104378
3	0.2381583464
4	0.2380368949
5	0.2378881197
6	0.2377436078
7	0.2376196149
8	0.237473633
9	0.2373451153
10	0.2372275023
11	0.2371138956
12	0.2370095511
13	0.2369305097
14	0.2368249456
15	0.2367608574
16	0.2366770224
17	0.2365748694
18	0.2364969336
19	0.2364416508
20	0.2363715855
21	0.2362614871
22	0.2361708336
23	0.2361006801
24	0.2360164195
25	0.2359508723
26	0.2358839067
27	0.2358240211
28	0.2357579003
29	0.2357036278
30	0.235627711
31	0.2355510672
32	0.2354700684
33	0.2354021395
34	0.2353324388
35	0.235284939
36	0.2352293938
37	0.2351865294
38	0.235130443
39	0.2350539297
40	0.2349659988
41	0.2349178576
42	0.2348765004
43	0.234808318
44	0.2347706402
45	0.2346997596
46	0.2346426658
47	0.2345796865
48	0.2345163991
49	0.2344521928
50	0.2343884743
51	0.2343241534
52	0.2342550948
53	0.2341755342
54	0.2341020519
55	0.2340443031
56	0.2340037171
57	0.2339475287
58	0.2338869805
59	0.2338512574
60	0.2337911173
61	0.2337485668
62	0.2336892157
63	0.2336400156
64	0.2335991276
65	0.2335492557
66	0.2334978612
67	0.2334546675
68	0.2334138593
69	0.2333736515
70	0.2333137246
71	0.2332610311
72	0.2332095615
73	0.2331557567
74	0.2330959912
75	0.2330462596
76	0.2329900656
77	0.2329264
78	0.2328839524
79	0.2328386747
80	0.232784924
81	0.2327232339
82	0.2326659288
83	0.2326040279
84	0.2325440342
85	0.2324718881
86	0.2324292014
87	0.2323770611
88	0.2323423368
89	0.2323105443
90	0.232262551
91	0.2322195081
92	0.2321874722
93	0.2321320668
94	0.2321018407
95	0.2320673934
96	0.2320047428
97	0.2319656005
98	0.2319130548
99	0.2318494853
100	0.2317958655
101	0.2317522922
102	0.2316976122
103	0.2316515204
104	0.2316066249
105	0.2315484347
106	0.2315020869
107	0.2314663901
108	0.2314220072
109	0.2313707027
110	0.2313334126
111	0.2312911028
112	0.2312294117
113	0.2311796088
114	0.2311527503
115	0.2310941841
116	0.2310584628
117	0.2310212564
118	0.2309924655
119	0.230945011
120	0.2308900411
121	0.2308371414
122	0.2307892254
123	0.2307610892
124	0.230706499
125	0.2306776624
126	0.2306178375
127	0.2305684452
128	0.2305214433
129	0.2304756124
130	0.2304371046
131	0.2304055048
132	0.2303638278
133	0.2303404625
134	0.2303031816
135	0.2302353765
136	0.2302067428
137	0.2301737421
138	0.230127267
139	0.2300892944
140	0.2300311152
141	0.2299776222
142	0.2299300651
143	0.2298917511
144	0.2298536247
145	0.2298134905
146	0.2297701283
147	0.22975145
148	0.2297124027
149	0.2296757528
150	0.22963454
151	0.2295954768
