iter	Passed	Remaining
0	10	10017
1	19	9936
2	27	9160
3	35	8927
4	44	8828
5	52	8727
6	60	8591
7	70	8764
8	81	8965
9	90	8989
10	98	8895
11	111	9189
12	122	9292
13	130	9210
14	138	9120
15	148	9116
16	159	9236
17	168	9178
18	175	9059
19	182	8955
20	189	8844
21	199	8864
22	206	8764
23	214	8717
24	220	8599
25	226	8500
26	233	8422
27	241	8367
28	251	8423
29	262	8488
30	272	8517
31	285	8631
32	305	8954
33	316	8990
34	324	8942
35	333	8939
36	341	8894
37	350	8870
38	358	8823
39	367	8808
40	378	8863
41	388	8868
42	399	8902
43	411	8934
44	421	8948
45	433	8980
46	445	9041
47	457	9075
48	470	9126
49	481	9150
50	488	9095
51	496	9057
52	503	9002
53	511	8957
54	518	8902
55	525	8858
56	532	8806
57	539	8759
58	549	8760
59	558	8750
60	566	8726
61	575	8713
62	583	8676
63	591	8645
64	597	8598
65	604	8550
66	610	8504
67	617	8460
68	623	8408
69	628	8353
70	634	8300
71	640	8249
72	645	8198
73	651	8147
74	656	8096
75	661	8047
76	667	8000
77	673	7956
78	678	7915
79	684	7869
80	690	7829
81	695	7785
82	700	7742
83	706	7708
84	712	7669
85	718	7632
86	723	7593
87	728	7554
88	734	7521
89	741	7496
90	747	7463
91	752	7430
92	758	7394
93	763	7359
94	769	7328
95	774	7297
96	780	7269
97	786	7235
98	791	7206
99	798	7183
100	803	7155
101	809	7125
102	815	7101
103	820	7072
104	826	7046
105	832	7021
106	838	6993
107	843	6966
108	849	6941
109	854	6915
110	860	6887
111	865	6863
112	871	6841
113	876	6815
114	882	6790
115	888	6769
116	893	6745
117	899	6721
118	904	6697
119	910	6676
120	916	6655
121	921	6632
122	927	6611
123	932	6590
124	938	6568
125	944	6549
126	949	6530
127	955	6506
128	960	6487
129	966	6464
130	971	6443
131	977	6426
132	982	6407
133	988	6386
134	994	6369
135	999	6347
136	1004	6329
137	1010	6311
138	1015	6292
139	1021	6274
140	1026	6256
141	1032	6238
142	1038	6225
143	1044	6208
144	1049	6191
145	1055	6175
146	1061	6157
147	1066	6140
148	1072	6123
149	1077	6106
150	1082	6089
151	1088	6073
