record_id,district,place_name,latitude,longitude,elevation_m,distance_to_river_m,landcover,soil_type,water_supply,electricity,road_quality,population_density_per_km2,built_up_percent,urban_rural,rainfall_7d_mm,monthly_rainfall_mm,drainage_index,ndvi,ndwi,water_presence_flag,historical_flood_count,infrastructure_score,nearest_hospital_km,nearest_evac_km,flood_risk_score,flood_occurrence_current_event,inundation_area_sqm,is_good_to_live,reason_not_good_to_live,is_synthetic,generation_date,distance_to_river_m_log1p,population_density_per_km2_log1p,rainfall_7d_mm_log1p,monthly_rainfall_mm_log1p,nearest_hospital_km_log1p,nearest_evac_km_log1p,elevation_m_yeojohnson,drainage_index_yeojohnson,ndvi_qmap,ndwi_qmap,built_up_percent_qmap,seasonal_index,terrain_roughness_index,socioeconomic_status_index,extreme_weather_index,generation_year,generation_month,generation_day,generation_dayofyear,generation_quarter,generation_date_missing,distance_to_river_m_invalid_flag,distance_to_river_m_clipped,rainfall_7d_mm_invalid_flag,rainfall_7d_mm_clipped,monthly_rainfall_mm_invalid_flag,monthly_rainfall_mm_clipped,built_up_percent_invalid_flag,built_up_percent_clipped,drainage_index_invalid_flag,drainage_index_clipped,ndvi_invalid_flag,ndvi_clipped,ndwi_invalid_flag,ndwi_clipped,elevation_m_invalid_flag,elevation_m_clipped
F100000,Kegalle,Kudagama,7.416887,81.789107,88.0,339.2,Wetland,Loamy,Municipal,Mixed,Poor (unpaved),906.0,25.0,Rural,140.8,107.1,0.35,-0.378,0.504,Likely,0.0,12.0,2.76,2.74,0.0,Yes,12260,No,Other,True,2025-06-02,6.7173181805531765,6.810142450115136,5.2574920287170315,5.237880135489547,1.324418957401803,1.3190856114264409,21.685815588223665,0.3202928055131809,-2.054079213180128,1.7219140740079053,0.0828963781679446,0.4072874999854582,0.670947169582579,0.3700610500579864,0.7741115192500696,2025,6,2,153,2,0,0,339.2,0,140.8,0,107.1,0,25.0,0,0.35,0,-0.378,0,0.504,0,88.0
F100001,Matara,Kiriwatta,6.266956,81.041369,58.0,1257.6,Agriculture,Clay,Municipal,Mixed,Fair,439.0,27.5,Rural,126.6,177.6,0.36,-0.175,-0.092,Unlikely,0.0,46.0,1.61,8.45,0.5,Yes,21925,No,High flood risk,True,2024-11-14,7.464508545461454,6.0867747269123065,5.180655712755002,5.555941842780902,0.959350221334602,2.2460147415056513,16.707514418158702,0.3287009337240997,-1.2640663695358172,-0.4780246892786106,0.2072228334121407,-0.7742475254559686,0.897466123959161,0.4587334536440751,0.8467676546272255,2024,11,14,319,4,0,0,1257.6,0,126.6,0,177.6,0,27.5,0,0.36,0,-0.175,0,-0.092,0,58.0
F100002,Trincomalee,Uduthota East,6.742164,80.927326,80.0,5225.3,Forest,Silty,Well,Mixed,Poor (unpaved),136.0,3.7,Rural,155.1,242.2,0.728,0.455,-0.211,Unlikely,0.0,30.0,4.4,3.01,0.3533,No,3221,No,Other,True,2024-03-01,8.650446651739571,4.919980925828125,5.329328308513514,5.778798944168902,1.6863989535702286,1.3887912413184778,20.437915759353196,0.6165123129177843,1.0230032560702351,-0.945616266743319,-1.0400895498007985,0.8951551110868103,0.7343096416681124,0.3287342122418719,0.5681005479429639,2024,3,1,61,1,0,0,5225.3,0,155.1,0,242.2,0,3.7,0,0.728,0,0.455,0,-0.211,0,80.0
F100003,Puttalam,Mahagama East,5.922365,81.484788,111.0,2950.4,Urban,Sandy,Surface water,Grid,Good (paved),729.0,16.3,Urban,10.1,171.6,0.288,0.439,-0.259,Unlikely,0.0,58.0,11.44,4.94,0.3041,No,2350,No,Other,True,2024-11-06,8.142586356519226,6.593044534142437,4.115769371197434,5.532482243222768,2.520917087311034,1.7817091333745536,25.03438924325097,0.2673508023800074,0.965420306912084,-1.1234150491649846,-0.3601717239541596,-0.7523738486892909,0.5448914579710633,0.5475579451748361,0.6634513616201617,2024,11,6,311,4,0,0,2950.4,0,10.1,0,171.6,0,16.3,0,0.288,0,0.439,0,-0.259,0,111.0
F100004,Matara,Welimulla East,7.899872,80.826149,26.0,228.3,Agriculture,Silty,Well,Mixed,Good (paved),431.0,21.6,Rural,36.1,436.5,0.435,-0.007,0.229,Likely,1.0,45.0,17.85,4.65,0.5948,Yes,5629,No,Other,True,2024-07-21,6.573257941510531,6.068425588244111,4.469343109844972,6.249339076584639,2.93651291389402,1.7316555451583495,9.974663453275594,0.3906666576612855,-0.6518243142461582,0.7480094551039417,-0.0879329975415462,-0.1418224358347276,1.0889341523040337,0.4998056542426046,0.7286577629017258,2024,7,21,203,3,0,0,228.3,0,36.1,0,436.5,0,21.6,0,0.435,0,-0.007,0,0.229,0,26.0
F100005,Galle,Udupola,6.394456,80.45167,34.0,2086.5,Forest,Silty,Well,Grid,Good (paved),1730.0,27.6,Urban,19.5,93.4,0.87,0.666,-0.212,Unlikely,0.0,45.0,9.97,0.96,0.598,No,2935,No,Poor infrastructure,True,2025-09-19,7.853176663354211,7.456454555176209,4.258436493447008,5.1623290780952695,2.395164274287139,0.6729444732424258,11.880243289322328,0.7180987758838718,1.7585004536539277,-0.9475799380826428,0.2110697649159573,-0.8992133238367954,0.9730852474866868,0.7481463679112142,0.7095832722624505,2025,9,19,262,3,0,0,2086.5,0,19.5,0,93.4,0,27.6,0,0.87,0,0.666,0,-0.212,0,34.0
F100006,Puttalam,Kirikumbura Central,6.980463,81.847384,23.0,846.5,Forest,Loamy,Well,Grid,Fair,424.0,45.8,Rural,145.3,165.7,0.382,0.7,0.305,Likely,0.0,32.0,1.31,4.26,0.3428,Yes,10899,No,Other,True,2024-09-01,7.195860574655544,6.052089168924417,5.280659164563059,5.508864195149178,0.8372475245337022,1.6601310267496183,9.200262889253786,0.3470754380908982,1.87757536181673,1.0272467187906675,1.059682011223806,-0.65931728060684,0.95496892312259,0.4913051414856457,0.9657868548720616,2024,9,1,245,3,0,0,846.5,0,145.3,0,165.7,0,45.8,0,0.382,0,0.7,0,0.305,0,23.0
F100007,Colombo,Nayanuwara North,6.065139,80.979509,43.0,2072.2,Agriculture,Loamy,Rainwater harvesting,Grid,Good (paved),1534.0,55.7,Urban,13.2,142.9,0.558,0.427,-0.081,Unlikely,0.0,56.0,18.45,6.02,0.527,No,8905,Yes,Missing,True,2025-11-30,7.847605396374056,7.336285660021297,4.165103665442757,5.411961051243145,2.9678470700644555,1.9487632180377197,13.816684066185944,0.4884114075684631,0.9184977079651134,-0.4334819661117885,1.4641859679353213,-0.9899515338721204,0.949379498070378,0.6565189976476064,0.6663235710249625,2025,11,30,334,4,0,0,2072.2,0,13.2,0,142.9,0,55.7,0,0.558,0,0.427,0,-0.081,0,43.0
F100008,Matale,Kirivila East,7.029429,81.225805,843.0,1036.7,Agriculture,Clay,Rainwater harvesting,Missing,Good (paved),481.0,35.4,Rural,203.1,177.1,0.112,0.004,0.336,Likely,0.0,26.0,2.95,4.69,0.4244,No,46297,No,Other,True,2024-08-26,7.329157874866141,6.1779441140506,5.538512148183476,5.5540077601120785,1.3737155789130306,1.7387102481382395,84.90416376566303,0.1086163035792178,-0.6119957936995944,1.1448959732150612,0.5954367721535958,-0.7337567848142882,1.0356569652975407,0.5572378656275542,0.7800221804944965,2024,8,26,239,3,0,0,1036.7,0,203.1,0,177.1,0,35.4,0,0.112,0,0.004,0,0.336,0,843.0
F100009,Vavuniya,Kudavila North,6.97407,80.198977,45.0,4452.1,Forest,Silty,Well,Grid,Good (paved),552.0,41.8,Rural,103.0,45.9,0.838,0.471,-0.031,Unlikely,1.0,73.0,15.34,2.09,0.9854,Yes,1245,No,Other,True,2025-07-01,8.505018935051881,6.315358001522335,5.038246298250324,4.844742609113598,2.7936160894318567,1.128171090909654,14.223663839643995,0.69560114113942,1.077445511147958,-0.2367988898819028,0.8920383589928601,0.1298567703499994,0.8573466583118663,0.415410637956878,0.7447161524806998,2025,7,1,182,3,0,0,4452.1,0,103.0,0,45.9,0,41.8,0,0.838,0,0.471,0,-0.031,0,45.0
F100010,Hambantota,Mahakumbura Central,7.183534,80.031359,92.0,2381.7,Wetland,Clay,Rainwater harvesting,Grid,Fair,477.0,4.1,Rural,72.3,257.2,0.779,0.446,0.429,Likely,2.0,49.0,5.57,9.61,0.3679,No,12013,No,Other,True,2025-01-22,7.961752886642134,6.169610732491456,4.816235958365527,5.824141658753152,1.8825138324965192,2.361796952625892,22.292112441758153,0.653527491370108,0.9896968352818816,1.47526936144686,-1.020888417483279,-0.0052127612509974,0.7175835737195326,0.3947717391242815,0.6882092036788932,2025,1,22,22,1,0,0,2381.7,0,72.3,0,257.2,0,4.1,0,0.779,0,0.446,0,0.429,0,92.0
F100011,Vavuniya,Kudathota North,6.187311,80.542764,54.0,1154.2,Urban,Silty,Rainwater harvesting,Off-grid (solar),Poor (unpaved),327.0,1.0,Urban,156.1,256.7,0.176,0.294,0.303,Likely,0.0,37.0,4.24,7.21,0.4093,Yes,12245,Yes,Missing,True,2024-02-22,7.403425284599626,5.793013608384144,5.3341639228880195,5.822662896045314,1.6563214983329508,2.105352923464337,15.97012891640266,0.1678931845493154,0.4445338563564665,1.018778135032987,-5.199337582605575,0.4642568787790942,1.5583834084493042,0.5605774964423221,0.7872923870691081,2024,2,22,53,1,0,0,1154.2,0,156.1,0,256.7,0,1.0,0,0.176,0,0.294,0,0.303,0,54.0
F100014,Kandy,Ihalamedura South,9.712932,80.518731,912.0,147.7,Urban,Loamy,Surface water,Grid,Good (paved),1188.0,62.7,Urban,22.8,352.3,0.595,0.257,0.138,Likely,2.0,47.0,3.72,8.99,0.4275,Yes,7063,No,High flood risk,True,2024-02-14,6.45377892466905,7.080867896690782,4.304056418645045,6.071823906897159,1.551808799597464,2.301584592660462,88.95603604706415,0.5169466135006314,0.3242539956857449,0.4088051193704571,1.73026139499996,0.4041468805877132,0.7405565753768774,0.6497200968347425,0.8075868375403097,2024,2,14,45,1,0,0,147.7,0,22.8,0,352.3,0,62.7,0,0.595,0,0.257,0,0.138,0,912.0
F100016,Batticaloa,Panapola East,9.097953,79.855214,8.0,1594.9,Agriculture,Silty,Municipal,Grid,Poor (unpaved),447.0,37.6,Rural,48.2,68.4,0.632,0.151,-0.118,Unlikely,0.0,44.0,51.32990185811171,2.81,0.4192,No,7059,No,Poor infrastructure,True,2025-01-01,7.6412272506648655,6.104793232414985,4.599145655748406,5.007768328122392,3.957567944940197,1.3376291891386096,4.452518181536438,0.5451064751097042,-0.0552290873297568,-0.5820090863157499,0.6911210235519151,-0.0394667977476797,1.0416694634293933,0.4052121055372234,0.7318463041580618,2025,1,1,1,1,0,0,1594.9,0,48.2,0,68.4,0,37.6,0,0.632,0,0.151,0,-0.118,0,8.0
F100017,Kegalle,Nayathota,9.191838,81.781309,6.0,3002.5,Plantation,Sandy,Municipal,Grid,Good (paved),385.0,1.0,Rural,185.6,90.8,0.431,0.143,0.123,Likely,0.0,61.0,2.69,12.18,0.0751,No,13155,No,High flood risk,True,2025-08-14,8.157627716885031,5.955837369464831,5.467213192218208,5.147323363204932,1.3056264580524355,2.578700529074361,3.613106114423562,0.387409146488291,-0.0854144170101695,0.3534865321372101,-5.199337582605575,-0.5192338339229443,0.939944141290744,0.6324982345609254,0.752631594632554,2025,8,14,226,3,0,0,3002.5,0,185.6,0,90.8,0,1.0,0,0.431,0,0.143,0,0.123,0,6.0
F100018,Nuwara Eliya,Pahalanuwara North,9.801051,79.677348,827.0,9913.7,Bare Soil,Silty,Well,Grid,Fair,745.0,21.8,Rural,1.8,544.5,0.36,0.344,-0.21,Unlikely,0.0,29.0,3.49,5.26,0.5516,Yes,4045,No,Poor infrastructure,True,2025-10-29,9.249666632481352,6.61472560020376,3.970279801882718,6.43882398813962,1.501852701754163,1.8341801851120072,83.94504625210246,0.3287009337240997,0.6241447422049652,-0.9397470063075932,-0.0778618608068223,-1.0285352493569522,0.6720129536581013,0.437437090858388,0.681200866331719,2025,10,29,302,4,0,0,9913.7,0,1.8,0,544.5,0,21.8,0,0.36,0,0.344,0,-0.21,0,827.0
F100019,Matara,Panavila East,6.952797,80.669792,153.0,632.0,Forest,Sandy,Rainwater harvesting,Grid,Poor (unpaved),10.0,17.8,Rural,111.9,2.9,0.557,0.732,0.343,Likely,0.0,27.0,14.14,5.05,0.4092,Yes,18883,No,High flood risk; Poor infrastructure,True,2024-04-08,7.0205460967991264,2.3978952727983707,5.094359573907445,4.431656576812727,2.717340248009303,1.80005827204275,30.47941680134657,0.4876348462215241,1.972535143398612,1.1694006645176926,-0.2796060306706415,1.0055753885350214,0.7699518751503138,0.2496142106428825,0.5452621073121995,2024,4,8,99,2,0,0,632.0,0,111.9,0,2.9,0,17.8,0,0.557,0,0.732,0,0.343,0,153.0
