feature,unique_values,max_category_mean,min_category_mean,target_mean_gap,top_category,bottom_category,largest_category_count
place_name,792,0.6728227272727273,0.3043166666666666,0.36850606060606067,Nayagama West,Polanuwara,34
generation_date,730,0.6506454545454545,0.29646,0.3541854545454545,2025-07-29,2024-03-31,40
district,26,0.5402870813397129,0.40814383775351015,0.13214324358620277,Vavuniya,Colombo,673
water_presence_flag,3,0.5631109375,0.466255692718981,0.09685524478101898,Missing,Likely,9095
reason_not_good_to_live,9,0.522539393939394,0.42976237064910633,0.09277702329028764,Poor infrastructure; No road access,High flood risk,10088
landcover,8,0.5215763636363636,0.46829737704918034,0.053278986587183275,Missing,Wetland,4176
flood_occurrence_current_event,2,0.4977467978606692,0.46139955628495016,0.03634724157571906,No,Yes,8226
is_good_to_live,2,0.5092648028962189,0.47579868651488616,0.03346611638133273,Yes,No,14275
road_quality,5,0.5014022988505747,0.4680314230103806,0.03337087584019416,Missing,Fair,6921
soil_type,6,0.5039,0.47261067656765676,0.03128932343234325,Missing,Loamy,3188
water_supply,6,0.489121897810219,0.4608310810810811,0.028290816729137858,Tube-well,Missing,5355
is_synthetic,2,0.5014932835820894,0.4783795450132678,0.02311373856882165,Missing,True,15451
electricity,4,0.4834633183568678,0.46323004899292325,0.02023326936394454,Off-grid (solar),Mixed,11407
urban_rural,3,0.48926379310344825,0.4776941671677691,0.011569625935679173,Missing,Urban,10471
