district,count,mean,std,min,max,feature,place_name,landcover,soil_type,water_supply,electricity,road_quality,urban_rural,water_presence_flag,flood_occurrence_current_event,is_good_to_live,reason_not_good_to_live,is_synthetic,generation_date
Vavuniya,627,0.5402870813397129,0.22269641289627262,0.0,1.0,district,,,,,,,,,,,,,
Monaragala,592,0.5360418074324325,0.22834370808781396,0.0,1.0,district,,,,,,,,,,,,,
Mullaitivu,623,0.5181107544141252,0.240919481512516,0.0,1.0,district,,,,,,,,,,,,,
Badulla,635,0.5164707874015748,0.22036217118982251,0.0,1.0,district,,,,,,,,,,,,,
Missing,61,0.5106409836065574,0.2451756051806196,0.0,1.0,district,,,,,,,,,,,,,
Kurunegala,623,0.5055951043338683,0.24587550764841073,0.0,1.0,district,,,,,,,,,,,,,
Kandy,673,0.5054924962852897,0.23301870834101288,0.0,1.0,district,,,,,,,,,,,,,
Matara,600,0.50141975,0.22384554741144777,0.0,1.0,district,,,,,,,,,,,,,
Puttalam,631,0.5014175118858955,0.2297015709843715,0.0,1.0,district,,,,,,,,,,,,,
Kegalle,606,0.4954845709570957,0.22595531099608235,0.0,1.0,district,,,,,,,,,,,,,
Kalutara,619,0.4902852988691438,0.241027984638706,0.0,1.0,district,,,,,,,,,,,,,
Gampaha,599,0.48290684474123535,0.2485066613238003,0.0,1.0,district,,,,,,,,,,,,,
Batticaloa,615,0.48241365853658535,0.2470176436921567,0.0,1.0,district,,,,,,,,,,,,,
Anuradhapura,626,0.47983322683706076,0.2269130696240542,0.0,1.0,district,,,,,,,,,,,,,
Mannar,634,0.47127042586750795,0.22893094101739625,0.0,1.0,district,,,,,,,,,,,,,
Ampara,613,0.4707775693311583,0.23738998149771925,0.0,1.0,district,,,,,,,,,,,,,
Hambantota,623,0.4649637239165329,0.24198160623793863,0.0,1.0,district,,,,,,,,,,,,,
Galle,591,0.46362250423011847,0.23965052785499114,0.0,1.0,district,,,,,,,,,,,,,
Ratnapura,598,0.4631838628762542,0.2287410054680635,0.0,1.0,district,,,,,,,,,,,,,
Matale,637,0.4624048665620094,0.23306225596843627,0.0,1.0,district,,,,,,,,,,,,,
Nuwara Eliya,617,0.45523444084278775,0.22657287016797925,0.0,1.0,district,,,,,,,,,,,,,
Jaffna,601,0.4519800332778702,0.23533830485919383,0.0,1.0,district,,,,,,,,,,,,,
Polonnaruwa,598,0.449392558528428,0.22963605909969056,0.0,1.0,district,,,,,,,,,,,,,
Kilinochchi,611,0.42812659574468087,0.24658304275828266,0.0,1.0,district,,,,,,,,,,,,,
Trincomalee,624,0.4126786057692308,0.242118555047012,0.0,1.0,district,,,,,,,,,,,,,
Colombo,641,0.40814383775351015,0.23235214932080708,0.0,1.0,district,,,,,,,,,,,,,
,22,0.6728227272727273,0.2838813181458192,0.1288,1.0,place_name,Nayagama West,,,,,,,,,,,,
,21,0.6409761904761905,0.2661170436194606,0.1144,1.0,place_name,Kiriwatta East,,,,,,,,,,,,
,19,0.6391078947368422,0.2321454478597164,0.2563,1.0,place_name,Polavila East,,,,,,,,,,,,
,18,0.6324055555555556,0.2347088420906966,0.0,1.0,place_name,Nayavila South,,,,,,,,,,,,
,9,0.6241777777777778,0.2622146819772769,0.3067,0.9883,place_name,Panavila North,,,,,,,,,,,,
,12,0.6164833333333334,0.28763491327259516,0.0595,1.0,place_name,Polapola East,,,,,,,,,,,,
,18,0.6088111111111112,0.21321957996639462,0.3424,1.0,place_name,Udarakumbura Central,,,,,,,,,,,,
